(located) at,zài,在
compact disc (CD),guāngpán,光盘
music,yīnyuè,音乐
market,shāngchǎng,商场
commerce; trade,shāng,商
frequently; often,chángcháng,常常
often,cháng,常
to follow; go with,gēn,跟
famous; well known,yǒumíng,有名
book; letter,shū,书
to announce,bào,报
book; notebook,běnzi,本子
there,nàr,那儿
(name of chinese violin concerto),liángzhù,梁祝
sir; mister,xiānsheng,先生
want; demand; ask,yào,要
master,shīfu,师傅
apple with banana taste,xiāngjiāo píngguǒ,香蕉苹果
banana,xiāngjiāo,香蕉
apple,píngguǒ,苹果
I'm sorry,duìbuqǐ,对不起
how come; how (can it be),zěnme,怎么
easy,róngyì,容易
grape,pútao,葡萄
money; coin,qián,钱
about 500 grams,jīn,斤
yuan (currency),kuài(qián),快（钱）
1/10 yuan (currency),máo(qián),毛（钱）
expensive,guì,贵
to make; to do,zuò,做
cent,fēn(qián),分（钱）
to give (as a present),sòng,送
to; for; to give,gěi,给
to give change,zhǎo(qián),找（钱）
