can; be able to,huì,会
a bit; a little,(yī)diǎnr,（一）点儿
chauffeur; driver,sījī,司机
(time of day) o'clock,diǎn(zhōng),点（种）
to be short of; lack,chà,差
quarter (hour),kè,刻
to return,huí,回
to attend class,shàngkè,上课
on top; upper,shàng,上
can; may; capable,néng,能
to arrive,dào,到
no (modest denial),nǎli,哪里
to teach,jiāo,教
english,yīngyǔ,英语
granddaughter (on son's side),sūnnür,孙女儿
daughter,nǚér,女儿
years (of age),suìshu,岁数
number,shù,数
still,hái,还
minute,fēn,分
bye-bye,báibái,拜拜
why; for what reason,wèi shénme,为什么
for,wèi,为
yesterday,zuótiān,昨天
thing,dōngxi,东西
to play,wánr,玩儿
evening,wǎnshang,晚上
night; late,wǎn,晚
half,bàn,半
to write,xiě,写
chinese character,hànzì,汉字
character; symbol,zì,字
to go to bed; to go to sleep,shuìjiào,睡觉
to sleep,shuì,睡
to get up,qǐchuáng,起床
to rise,qǐ,起
bed; couch,chuáng,床
ought to; should,yīnggāi,应该
ought to; should,gāi,该
question,wèntí,问题
can; may,kěyǐ,可以
chen (a surname),chén,陈
