all over (the body),quánshēn,全身
whole,quán,全
body,shēn,身
comfortable,shūfu,舒服
every; each,měi,每
to do physical exercise,duànliàn,锻炼
head,tóu,头
(it) hurts,téng,疼
throat; voice,sǎngzi,嗓子
to think; to want,xiǎng,想
hospital,yīyuàn,医院
see a doctor,kànbìng,看病
sickness; ailment,bìng,病
(human) body; health,shēntǐ,身体
ask; want; demand,yào,要
particle (polite suggestion),ba,吧
or,háishì,还是
together,yìqǐ,一起
cold,lěng,冷
to wear,chuān,穿
clothes,yīfu,衣服
to take a rest,xiūxi,休息
to; for,gěi,给
to register (at a hospital),guàhào,挂号
number,hào,号
somewhat; rather; a bit,yǒudiǎnr,有点儿
to become inflamed,fāyán,发炎
to have a fever,fāshāo,发烧
to burn,shāo,烧
to have a cold,gǎnmào,感冒
to be in hospital,zhùyuàn,住院
water,shuǐ,水
medecine,yào,药
to be willing to do,yuànyì,愿意
traditional chinese medicine,zhōngyào,中药
western medicine,xīyào,西药
west,xī,西
