me; I,wǒ,我
living quarters,sùshè,宿舍
female,nǚ,女
(located) at,zài,在
two,èr,二
to enter,jìn,进
good,hǎo,好
past tense marker,le,了
dining hall,cāntīng,餐厅
to sit ,zuò,坐
it doesn't matter,méiguānxi,没关系
zero,líng,〇
again; once more,zài,再
to ask,wèn,问
need not,búyòng,不用
this,zhè,这
young lady,xiǎojiě,小姐
good bye,zàijiàn,再见
here,zhèr,这儿
four,sì,四
where,nǎr,哪儿
song hua (name),sònghuá,宋华
floor; storey (of building),céng,层
I'm sorry,duìbuqǐ,对不起
may I ask…,qǐngwèn,请问
(ordinal) number,hào,号
student,xuésheng,学生
Wang Xiaoyun (name),wángxiǎoyún,王小云
evening; night; late,wǎn,晚
to thank,xièxie,谢谢
know; be aware of,zhīdao,知道
