home; family,jiā,家
how much; how many,jǐ,几
mouth; (measure word),kǒu,口
photograph; picture,zhàopiàn,照片
and; together with,hé,和
(a measure word),gè,个
older sister,jiějie,姐姐
both; a couple,liǎng,两
younger brother,dìdi,弟弟
also; in addition,hái,还
altogether,yígòng,一共
younger sister,mèimei,妹妹
small; tiny,xiǎo,小
dog,gǒu,狗
(a surname),zhāng,张
of course; only natural,dāngrán,当然
real; genuine,zhēn,真
cute; lovely,kě'ài,可爱
to love; to like,ài,爱
(negative prefix),méi,没
male,nán,男
to do; to make,zuò,做
job; work,gōngzuò,工作
Wang Xiaoyun (personal name),wáng xiǎoyún,王小云
(a pet's name),bèibei,贝贝
big; huge,dà,大
how much; how many,duōshao,多少
many; much,duō,多
few; little,shǎo,少
to like; be fond of,xǐhuan,喜欢
foreign language,wàiyǔ,外语
outside; foreign,wài,外
dialect; language,yǔ,语
foreign (country),wàiguó,外国
hundred,bǎi,百
