this year,jīnnián,今年
year,nián,年
year; years old,suì,岁
how is it,zěnme yàng,怎么样
today,jīntiān,今天
subject; class,kè,课
week,xīngqī,星期
morning,shàngwǔ,上午
on; on top,shàng,上
afternoon,xiàwǔ,下午
under; below,xià,下
Sunday,xīngqīrì,星期日
day of month,hào,号
birthday,shēngrì,生日
to be born; to give birth,shēng,生
how old; how big,duōdà,多大
many; much,duō,多
big; huge,dà,大
to be born,chūshēng,出生
to go out; to come out,chū,出
category; class,shǔ,属
meet; gathering,jùhuì,聚会
can; be able to,huì,会
to congratulate,zhùhè,祝贺
wish; invoke,zhù,祝
to participate; to join,cānjiā,参加
(past tense marker),le,了
eat,chī,吃
(egg) cake,dàngāo,蛋糕
egg,dàn,蛋
cake,gāo,糕
buy,mǎi,买
bottle (measure word),píng,瓶
red wine,hóngpútaojiǔ,红葡萄酒
red,hóng,红
grape,pútao,葡萄
wine; spirits,jiǔ,酒
song hua (a personal name),sònghuá,宋华
Beijing,běijīng,北京
happy; merry,kuàilè,快乐
pretty; beautiful,piàoliang,漂亮
roast duck,kǎoyā,烤鸭
duck,yā,鸭
to drink,hē,喝
again; once more,zài,再
birthday noodles,shòumiàn,兽面
noodles; flour,miàn,面
